code	Item
012.51	Tongues, of bovine animals, fresh or chilled
012.51	Udders, of bovine animals, fresh or chilled
012.52	Brains, of bovine animals, frozen
012.52	Cauls, of bovine animals, frozen
012.52	Cords, spinal, of bovine animals, frozen
012.52	Ears, of bovine animals, frozen
012.52	Feet, of bovine animals, frozen
012.52	Glands, pituitary, of bovine animals, frozen
012.52	Glands, thymus, of bovine animals, frozen
012.52	Glands, thyroid, of bovine animals, frozen
012.52	Heads, and cuts thereof, of bovine animals, frozen
012.52	Hearts, of bovine animals, frozen
012.52	Kidneys, of bovine animals, frozen
012.52	Livers, of bovine animals, frozen
012.52	Lungs, of bovine animals, frozen
012.52	Organs, reproductive, of bovine animals, frozen
012.52	Ovaries, of bovine animals, frozen
012.52	Pancreases, of bovine animals, frozen
012.52	Skin, edible, of bovine animals, frozen
012.52	Skirts, of bovine animals, frozen
012.52	Spleens, of bovine animals, frozen
012.52	Sweetbreads, of bovine animals, frozen
012.52	Tails, of bovine animals, frozen
012.52	Testes, of bovine animals, frozen
012.52	Throats, of bovine animals, frozen
012.52	Tongues, of bovine animals, frozen
012.52	Udders, of bovine animals, frozen
012.52	Uteri, of bovine animals, frozen
012.53	Brains, of swine, fresh or chilled
012.53	Cauls, of swine, fresh or chilled
012.53	Cords, spinal, of swine, fresh or chilled
012.53	Ears, of swine, fresh or chilled
012.53	Feet, of swine, fresh or chilled
012.53	Glands, pituitary, of swine, fresh or chilled
012.53	Glands, thymus, of swine, fresh or chilled
012.53	Glands, thyroid, of swine, fresh or chilled
012.53	Heads, and cuts thereof, of swine, fresh or chilled
012.53	Hearts, of swine, fresh or chilled
012.53	Kidneys, of swine, fresh or chilled
012.53	Livers, of swine, fresh or chilled
012.53	Lungs, of swine, fresh or chilled
012.53	Organs, reproductive, of swine, fresh or chilled
012.53	Ovaries, of swine, fresh or chilled
012.53	Pancreases, of swine, fresh or chilled
012.53	Skin, edible, of swine, fresh or chilled
012.53	Skirts, of swine, fresh or chilled
012.53	Spleens, of swine, fresh or chilled
012.53	Sweetbreads, of swine, fresh or chilled
012.53	Tails, of swine, fresh or chilled
012.53	Testes, of swine, fresh or chilled
012.53	Throats, of swine, fresh or chilled
012.53	Tongues, of swine, fresh or chilled
012.53	Udders, of swine, fresh or chilled
012.53	Uteri, of swine, fresh or chilled
012.54	Brains, of swine, frozen
012.54	Cauls, of swine, frozen
012.54	Cords, spinal, of swine, frozen
012.54	Ears, of swine, frozen
012.54	Feet, of swine, frozen
012.54	Glands, pituitary, of swine, frozen
012.54	Glands, thymus, of swine, frozen
012.54	Glands, thyroid, of swine, frozen
012.54	Heads, and cuts thereof, of swine, frozen
012.54	Hearts, of swine, frozen
012.54	Kidneys, of swine, frozen
012.54	Livers, of swine, frozen
012.54	Lungs, of swine, frozen
012.54	Organs, reproductive, of swine, frozen
012.54	Ovaries, of swine, frozen
012.54	Pancreases, of swine, frozen
012.54	Skin, edible, of swine, frozen
012.54	Skirts, of swine, frozen
012.54	Spleens, of swine, frozen
012.54	Sweetbreads, of swine, frozen
012.54	Tails, of swine, frozen
012.54	Testes, of swine, frozen
012.54	Throats, of swine, frozen
012.54	Tongues, of swine, frozen
012.54	Udders, of swine, frozen
012.55	Brains, of sheep, goats, horses, asses, mules or hinnies, fresh or chilled
012.55	Cauls, of sheep, goats, horses, asses, mules or hinnies, fresh or chilled
012.55	Cords, spinal, of sheep, goats, horses, asses, mules or hinnies, fresh or chilled
012.55	Ears, of sheep, goats, horses, asses, mules or hinnies, fresh or chilled
012.55	Feet, of sheep, goats, horses, asses, mules or hinnies, fresh or chilled
012.55	Glands, pituitary, of sheep, goats, horses, asses, mules or hinnies, fresh or chilled
012.55	Glands, thymus, of sheep, goats, horses, asses, mules or hinnies, fresh or chilled
012.55	Glands, thyroid, of sheep, goats, horses, asses, mules or hinnies, fresh or chilled
012.55	Heads, and cuts thereof, of sheep, goats, horses, asses, mules or hinnies, fresh or chilled
012.55	Hearts, of sheep, goats, horses, asses, mules or hinnies, fresh or chilled
012.55	Kidneys, of sheep, goats, horses, asses, mules or hinnies, fresh or chilled
012.55	Livers, of sheep, goats, horses, asses, mules or hinnies, fresh or chilled
012.55	Lungs, of sheep, goats, horses, asses, mules or hinnies, fresh or chilled
012.55	Organs, reproductive, of sheep, goats, horses, asses, mules or hinnies, fresh or chilled
012.55	Ovaries, of sheep, goats, horses, asses, mules or hinnies, fresh or chilled
012.55	Pancreases, of sheep, goats, horses, asses, mules or hinnies, fresh or chilled
012.55	Skin, edible, of sheep, goats, horses, asses, mules or hinnies, fresh or chilled
012.55	Skirts, of sheep, goats, horses, asses, mules or hinnies, fresh or chilled
012.55	Spleens, of sheep, goats, horses, asses, mules or hinnies, fresh or chilled
012.55	Sweetbreads, of sheep, goats, horses, asses, mules or hinnies, fresh or chilled
012.55	Tails, of sheep, goats, horses, asses, mules or hinnies, fresh or chilled
012.55	Testes, of sheep, goats, horses, asses, mules or hinnies, fresh or chilled
012.55	Throats, of sheep, goats, horses, asses, mules or hinnies, fresh or chilled
012.55	Tongues, of sheep, goats, horses, asses, mules or hinnies, fresh or chilled
012.55	Udders, of sheep, goats, horses, asses, mules or hinnies, fresh or chilled
012.55	Uteri, of sheep, goats, horses, asses, mules or hinnies, fresh or chilled
012.56	Brains, of sheep, goats, horses, asses, mules or hinnies, frozen
012.56	Cauls, of sheep, goats, horses, asses, mules or hinnies, frozen
012.56	Cords, spinal, of sheep, goats, horses, asses, mules or hinnies, frozen
012.56	Ears, of sheep, goats, horses, asses, mules or hinnies, frozen
012.56	Feet, of sheep, goats, horses, asses, mules or hinnies, frozen
012.56	Glands, pituitary, of sheep, goats, horses, asses, mules or hinnies, frozen
012.56	Glands, thymus, of sheep, goats, horses, asses, mules or hinnies, frozen
012.56	Glands, thyroid, of sheep, goats, horses, asses, mules or hinnies, frozen
012.56	Heads, and cuts thereof, of sheep, goats, horses, asses, mules or hinnies, frozen
012.56	Hearts, of sheep, goats, horses, asses, mules or hinnies, frozen
012.56	Kidneys, of sheep, goats, horses, asses, mules or hinnies, frozen
012.56	Livers, of sheep, goats, horses, asses, mules or hinnies, frozen
012.56	Lungs, of sheep, goats, horses, asses, mules or hinnies, frozen
012.56	Organs, reproductive, of sheep, goats, horses, asses, mules or hinnies, frozen
012.56	Ovaries, of sheep, goats, horses, asses, mules or hinnies, frozen
012.56	Pancreases, of sheep, goats, horses, asses, mules or hinnies, frozen
012.56	Skin, edible, of sheep, goats, horses, asses, mules or hinnies, frozen
012.56	Skirts, of sheep, goats, horses, asses, mules or hinnies, frozen
012.56	Spleens, of sheep, goats, horses, asses, mules or hinnies, frozen
012.56	Sweetbreads, of sheep, goats, horses, asses, mules or hinnies, frozen
012.56	Tails, of sheep, goats, horses, asses, mules or hinnies, frozen
012.56	Testes, of sheep, goats, horses, asses, mules or hinnies, frozen
012.56	Throats, of sheep, goats, horses, asses, mules or hinnies, frozen
012.56	Tongues, of sheep, goats, horses, asses, mules or hinnies, frozen
012.56	Udders, of sheep, goats, horses, asses, mules or hinnies, frozen
012.56	Uteri, of sheep, goats, horses, asses, mules or hinnies, frozen
012.91	Meat, of hares, fresh, chilled or frozen
012.91	Meat, of rabbits, fresh, chilled or frozen
012.91	Offal, of hares, fresh, chilled or frozen
012.91	Offal, of rabbits, fresh, chilled or frozen
012.92	Frogs' legs, fresh, chilled or frozen
012.93	Snails (excl. sea snails), fresh, chilled, frozen, dried, salted or in brine
012.99	Birds, game, dead, fresh, chilled or frozen
012.99	Ducks, wild, dead, fresh, chilled or frozen
012.99	Game, fresh, chilled or frozen
012.99	Geese, wild, dead, fresh, chilled or frozen
012.99	Meat, of bears, fresh, chilled or frozen
012.99	Meat, of beavers, fresh, chilled or frozen
012.99	Meat, of camels, fresh, chilled or frozen
012.99	Meat, of cetaceans, fresh, chilled or frozen
012.99	Meat, of deer, fresh, chilled or frozen
012.99	Meat, of monkeys, fresh, chilled or frozen
012.99	Meat, of reindeer, fresh, chilled or frozen
012.99	Meat, of seals, fresh, chilled or frozen
012.99	Meat, of tortoises, fresh, chilled or frozen
012.99	Meat, of turtles, fresh, chilled or frozen
012.99	Meat, of whales, fresh, chilled or frozen
012.99	Meat, of zebras, fresh, chilled or frozen
012.99	Offal, edible, fresh, chilled or frozen, of animals of heading 001.9 (excl. that of frogs, rabbits and hares)
012.99	Pigeons, dead, fresh, chilled or frozen
012.99	Venison, fresh, chilled or frozen
016.11	Ham, salted, dried or smoked, with bone in, uncooked
016.11	Shoulder butts, salted, dried or smoked, of swine
016.11	Shoulder chops, salted, dried or smoked, of swine
016.11	Shoulders and cuts thereof, with bone in, salted, dried or smoked, of swine
016.11	Shoulders, picnic, salted, dried or smoked, of swine
016.12	Bellies (streaky), of swine, and cuts thereof, salted, in brine, dried or smoked
016.19	Bacon, salted, dried or smoked
016.19	Heads, and cuts thereof, of swine, salted, dried or smoked
016.19	Meat, of pigs, salted, dried or smoked
016.19	Offal, edible, of swine, salted, in brine, chilled or smoked
016.19	Pork, dehydrated
016.19	Meat, of domestic swine, salted, dried or smoked, not cooked or otherwise preserved, whether or not in airtight packings
016.19	Pork, dried (incl. freeze-dried), salted or smoked
016.19	Salt pork
016.19	Tails, of pigs, salted, in brine, dried or smoked
016.81	Beef, corned (i.e., cured by salting)
016.81	Beef, salted, in brine, dried or smoked
016.81	Meat, of bovine animals, dehydrated
016.81	Meat, of bovine animals, salted, in brine, dried or smoked
016.81	Offal, edible, of bovine animals, salted, in brine, dried or smoked
016.81	Veal, salted, in brine, dried or smoked
016.89	Flour, of meat, suitable for human consumption
016.89	Meal, of meat, suitable for human consumption
016.89	Meat, of asses, salted, in brine, dried or smoked
016.89	Meat, of goats, salted, in brine, dried or smoked
016.89	Meat, of hinnies, salted, in brine, dried or smoked
016.89	Meat, of horses, salted, in brine, dried or smoked
016.89	Powder, of meat, suitable for human consumption
017.1	Essences, of meat, in liquid or powder form
017.1	Extracts, of fish
017.1	Extracts, of meat, in liquid, solid or powder form
017.1	Juices, of meat
017.2	Andouillettes
017.2	Bolognas
017.2	Frankfurters
017.2	Liverwurst
017.2	Mortadella
017.2	Puddings, black
017.2	Puddings, white
017.2	Salami
017.2	Sausages containing poultry liver
017.2	Sausages, liver
017.2	Sausages made of chitterlings
017.2	Sausages of animal blood
017.2	Sausages of chopped or minced meat or meat offal
017.2	Sausages, skinless, merely pressed to shape
017.2	Saveloys
017.3	Livers, animal, boiled
017.3	Livers, animal, grilled
017.3	Livers, animal, roasted
017.3	Livers, animal, fried
017.3	Livers, animal, steamed
017.4	Composite food preparations based on meat or offal, of poultry
017.4	Galantines, of poultry
017.4	Meals, prepared, of meat or meat offal (excl. liver), of poultry
017.4	Meat, of poultry, cooked
017.4	Meat, of poultry, covered with batter or breadcrumbs, whether or not cooked
017.4	Meat, of poultry (excl. dried, salted, in brine or smoked), put up in airtight packings
017.4	Meat, of poultry, truffled or seasoned (excl. those simply salted or in brine)
017.4	Offal (excl. liver) of poultry, cooked
017.4	Paste, meat, of poultry
017.4	Pâté, meat, of poultry
017.4	Poultry, cooked and merely boned, enclosed in sausage casings
017.4	Rillettes, of poultry
017.5	Brawn
017.5	Composite food preparations based on pork
017.5	Galantines, of swine
017.5	Hams and cuts thereof, prepared or preserved, of swine
017.5	Meals, prepared, of meat or meat offal (excl. liver), of swine
017.5	Meat, of swine, cooked
017.5	Meat, of swine, covered with batter or breadcrumbs, whether or not cooked
017.5	Meat, of swine (excl. dried, salted, in brine or smoked), put up in airtight packings
017.5	Meat, of swine, truffled or seasoned (e.g., with both pepper and salt)
017.5	Mince, potted, of swine
017.5	Offal (excl. liver), of swine, cooked
017.5	Offal (excl. liver), of swine (excl. dried, salted, in brine or smoked), put up in airtight packings
017.5	Paste, meat, of swine
017.5	Pâté, meat, of swine
017.5	Rillettes, of meat of swine
017.6	Composite food preparations based on meat of bovine animals
017.6	Galantines, of meat of bovine animals
017.6	Meat, of bovine animals, cooked
017.6	Meat, of bovine animals, covered with batter or breadcrumbs, whether or not cooked
017.6	Meat, of bovine animals (excl. dried, salted, in brine or smoked), put up in airtight packings
017.6	Meat, of bovine animals, truffled or seasoned (excl. simply salted or in brine)
017.6	Mince, potted, of bovine animals
017.6	Offal (excl. liver), of bovine animals, cooked
